157.55.36.35 - - [09/Apr/2014:03:25:24 -0700] "GET seshouse.com/~n87f6655/robots.txt HTTP/1.1" 404 1712 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 0 "-" "/var/chroot/home/content/67/12065367/html/.errordocs/404.html" 75208
157.55.36.35 - - [09/Apr/2014:03:41:01 -0700] "GET seshouse.com/~n87f6655/index.html HTTP/1.1" 200 3105 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/index.html" 31162
64.202.167.143 - - [09/Apr/2014:11:26:23 -0700] "GET www.seshouse.com/~n87f6655/index.html HTTP/1.1" 200 10417 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/index.html" 90024
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/index.html HTTP/1.1" 200 10361 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 1 "default-handler" "/var/chroot/home/content/67/12065367/html/index.html" 2303
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/services.html HTTP/1.1" 200 8849 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/services.html" 6770
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/portfolio.html HTTP/1.1" 200 9931 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/portfolio.html" 9289
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/about.html HTTP/1.1" 200 9836 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/about.html" 10090
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/contact.html HTTP/1.1" 200 6844 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "default-handler" "/var/chroot/home/content/67/12065367/html/contact.html" 9231
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/images/latest_work/originals/large_image_02.jpg HTTP/1.1" 200 45510 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "-" "/var/chroot/home/content/67/12065367/html/images/latest_work/originals/large_image_02.jpg" 217379
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/images/latest_work/originals/large_image_01.jpg HTTP/1.1" 200 45510 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "-" "/var/chroot/home/content/67/12065367/html/images/latest_work/originals/large_image_01.jpg" 224004
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/images/latest_work/originals/large_image_04.jpg HTTP/1.1" 200 46535 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "-" "/var/chroot/home/content/67/12065367/html/images/latest_work/originals/large_image_04.jpg" 221391
64.202.167.143 - - [09/Apr/2014:11:26:26 -0700] "GET www.seshouse.com/~n87f6655/images/latest_work/originals/large_image_03.jpg HTTP/1.1" 200 46535 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; CrawlDaddy v0.3.0 abot v1.2.0.0 http://code.google.com/p/abot)" 0 "-" "/var/chroot/home/content/67/12065367/html/images/latest_work/originals/large_image_03.jpg" 222767
